"product_name","stock_available","predicted_quantity","shortage","peak_month","seasonal_note"
"Dell Prime 797",452,2028,1576,"January","Mostly required in January"
"Samsung Model 656",305,1879,1574,"January","Mostly required in January"
"Dell Ultra 597",91,1655,1564,"January","Mostly required in January"
"Whirlpool Series 674",31,1574,1543,"January","Mostly required in January"
"Sony Edition 55",481,2022,1541,"January","Mostly required in January"
"Redmi Model 725",201,1732,1531,"January","Mostly required in January"
"Sony Model 341",176,1703,1527,"January","Mostly required in January"
"Nike Model 95",214,1737,1523,"January","Mostly required in January"
"Reebok Ultra 13",37,1553,1516,"January","Mostly required in January"
"Whirlpool Ultra 500",4,1517,1513,"January","Mostly required in January"
"Prestige Prime 48",26,1538,1512,"January","Mostly required in January"
"Philips Prime 939",12,1519,1507,"January","Mostly required in January"
"Apple Model 158",265,1768,1503,"January","Mostly required in January"
"Adidas Series 171",511,2009,1498,"January","Mostly required in January"
"Adidas Model 708",90,1584,1494,"January","Mostly required in January"
"HP Model 896",115,1599,1484,"January","Mostly required in January"
"Puma Prime 804",164,1639,1475,"January","Mostly required in January"
"Whirlpool Model 247",685,2159,1474,"January","Mostly required in January"
"Dell Series 722",13,1484,1471,"January","Mostly required in January"
"Whirlpool Edition 608",35,1503,1468,"January","Mostly required in January"
"Nike Prime 273",144,1597,1453,"January","Mostly required in January"
"Puma Prime 524",313,1764,1451,"January","Mostly required in January"
"Redmi Model 659",239,1689,1450,"January","Mostly required in January"
"Whirlpool Prime 513",50,1493,1443,"January","Mostly required in January"
"Boat Prime 208",92,1533,1441,"January","Mostly required in January"
"Prestige Series 565",143,1579,1436,"January","Mostly required in January"
"Reebok Ultra 967",212,1648,1436,"January","Mostly required in January"
"Reebok Edition 425",30,1465,1435,"January","Mostly required in January"
"Adidas Ultra 897",487,1921,1434,"January","Mostly required in January"
"Reebok Model 598",8,1436,1428,"January","Mostly required in January"
"Puma Edition 361",215,1643,1428,"January","Mostly required in January"
"Philips Series 646",49,1476,1427,"January","Mostly required in January"
"Reebok Ultra 239",370,1793,1423,"January","Mostly required in January"
"Whirlpool Edition 409",286,1708,1422,"January","Mostly required in January"
"Prestige Edition 545",537,1952,1415,"January","Mostly required in January"
"Redmi Ultra 290",95,1508,1413,"January","Mostly required in January"
"Puma Series 410",444,1856,1412,"January","Mostly required in January"
"Adidas Edition 512",150,1558,1408,"January","Mostly required in January"
"Dell Model 923",436,1842,1406,"January","Mostly required in January"
"Redmi Model 717",317,1720,1403,"January","Mostly required in January"
"Puma Model 344",20,1421,1401,"January","Mostly required in January"
"HP Prime 111",357,1757,1400,"January","Mostly required in January"
"Dell Edition 368",431,1827,1396,"January","Mostly required in January"
"Nike Model 860",60,1455,1395,"January","Mostly required in January"
"Sony Model 918",525,1916,1391,"January","Mostly required in January"
"LG Series 608",569,1957,1388,"January","Mostly required in January"
"HP Ultra 687",77,1463,1386,"January","Mostly required in January"
"Whirlpool Edition 914",45,1428,1383,"January","Mostly required in January"
"LG Ultra 610",189,1571,1382,"January","Mostly required in January"
"HP Prime 847",31,1412,1381,"January","Mostly required in January"
"Nike Edition 275",59,1437,1378,"January","Mostly required in January"
"Philips Series 488",111,1482,1371,"January","Mostly required in January"
"Prestige Model 51",84,1452,1368,"January","Mostly required in January"
"Nike Edition 778",43,1408,1365,"January","Mostly required in January"
"Prestige Series 911",311,1675,1364,"January","Mostly required in January"
"Redmi Series 672",110,1471,1361,"January","Mostly required in January"
"HP Ultra 140",199,1553,1354,"January","Mostly required in January"
"HP Prime 740",456,1808,1352,"January","Mostly required in January"
"Redmi Prime 876",31,1381,1350,"January","Mostly required in January"
"Puma Ultra 159",113,1460,1347,"January","Mostly required in January"
"Apple Ultra 172",92,1437,1345,"January","Mostly required in January"
"Samsung Model 787",352,1693,1341,"January","Mostly required in January"
"Sony Model 506",166,1504,1338,"January","Mostly required in January"
"LG Ultra 701",463,1798,1335,"January","Mostly required in January"
"Adidas Model 380",110,1437,1327,"January","Mostly required in January"
"Whirlpool Model 469",192,1518,1326,"January","Mostly required in January"
"Samsung Ultra 52",438,1760,1322,"January","Mostly required in January"
"LG Ultra 203",217,1538,1321,"January","Mostly required in January"
"Apple Edition 764",154,1474,1320,"January","Mostly required in January"
"Redmi Series 896",275,1595,1320,"January","Mostly required in January"
"Dell Model 446",24,1340,1316,"January","Mostly required in January"
"Nike Edition 256",101,1415,1314,"January","Mostly required in January"
"Prestige Prime 351",126,1437,1311,"January","Mostly required in January"
"HP Series 407",100,1410,1310,"January","Mostly required in January"
"Philips Ultra 739",318,1627,1309,"January","Mostly required in January"
"Philips Ultra 826",363,1670,1307,"January","Mostly required in January"
"Whirlpool Model 598",113,1419,1306,"April","Mostly required in April"
"Prestige Ultra 505",347,1652,1305,"January","Mostly required in January"
"Samsung Model 150",5,1308,1303,"January","Mostly required in January"
"Boat Series 628",327,1630,1303,"January","Mostly required in January"
"Puma Prime 955",32,1334,1302,"January","Mostly required in January"
"Reebok Ultra 10",68,1366,1298,"January","Mostly required in January"
"Prestige Prime 79",63,1361,1298,"January","Mostly required in January"
"Puma Model 687",342,1640,1298,"January","Mostly required in January"
"Nike Prime 171",63,1360,1297,"January","Mostly required in January"
"Nike Model 920",17,1313,1296,"January","Mostly required in January"
"Whirlpool Series 707",133,1425,1292,"January","Mostly required in January"
"Whirlpool Edition 352",73,1365,1292,"January","Mostly required in January"
"Sony Prime 936",305,1596,1291,"January","Mostly required in January"
"Sony Ultra 81",773,2063,1290,"January","Mostly required in January"
"Apple Edition 290",50,1339,1289,"January","Mostly required in January"
"Reebok Edition 997",416,1705,1289,"January","Mostly required in January"
"Nike Ultra 251",458,1743,1285,"January","Mostly required in January"
"Samsung Model 885",122,1406,1284,"January","Mostly required in January"
"Adidas Edition 872",397,1681,1284,"January","Mostly required in January"
"Nike Model 500",102,1385,1283,"January","Mostly required in January"
"Adidas Model 904",48,1327,1279,"January","Mostly required in January"
"Apple Series 655",37,1315,1278,"January","Mostly required in January"
"Redmi Model 667",3,1281,1278,"January","Mostly required in January"
"Puma Series 156",13,1287,1274,"January","Mostly required in January"
"Dell Series 923",117,1391,1274,"January","Mostly required in January"
"Apple Ultra 893",193,1466,1273,"January","Mostly required in January"
"Redmi Series 663",608,1879,1271,"January","Mostly required in January"
"Samsung Series 508",111,1381,1270,"January","Mostly required in January"
"Philips Ultra 299",793,2063,1270,"January","Mostly required in January"
"LG Ultra 756",21,1287,1266,"January","Mostly required in January"
"Sony Ultra 425",534,1798,1264,"January","Mostly required in January"
"Adidas Prime 863",632,1893,1261,"January","Mostly required in January"
"Nike Model 629",243,1501,1258,"January","Mostly required in January"
"Redmi Model 446",48,1306,1258,"January","Mostly required in January"
"Philips Model 108",149,1404,1255,"January","Mostly required in January"
"HP Series 332",119,1374,1255,"October","Mostly required in October"
"Boat Prime 325",127,1378,1251,"January","Mostly required in January"
"Puma Model 821",185,1433,1248,"January","Mostly required in January"
"Dell Series 367",61,1308,1247,"January","Mostly required in January"
"Boat Edition 226",10,1256,1246,"January","Mostly required in January"
"Boat Series 568",253,1499,1246,"January","Mostly required in January"
"Apple Edition 25",428,1673,1245,"January","Mostly required in January"
"Puma Series 775",64,1308,1244,"January","Mostly required in January"
"Sony Model 817",109,1353,1244,"January","Mostly required in January"
"Adidas Model 79",199,1439,1240,"January","Mostly required in January"
"Whirlpool Model 499",650,1889,1239,"January","Mostly required in January"
"HP Ultra 858",621,1859,1238,"January","Mostly required in January"
"Samsung Edition 482",47,1285,1238,"January","Mostly required in January"
"Whirlpool Ultra 31",153,1387,1234,"January","Mostly required in January"
"Prestige Series 575",144,1377,1233,"January","Mostly required in January"
"Philips Edition 280",844,2077,1233,"January","Mostly required in January"
"Dell Series 132",60,1291,1231,"January","Mostly required in January"
"Prestige Series 250",12,1241,1229,"January","Mostly required in January"
"Dell Model 629",9,1237,1228,"October","Mostly required in October"
"Whirlpool Model 280",132,1360,1228,"January","Mostly required in January"
"Samsung Model 204",169,1396,1227,"January","Mostly required in January"
"Apple Ultra 805",284,1511,1227,"January","Mostly required in January"
"Sony Ultra 953",234,1460,1226,"January","Mostly required in January"
"Whirlpool Prime 29",146,1367,1221,"January","Mostly required in January"
"Nike Series 580",542,1762,1220,"January","Mostly required in January"
"Philips Model 167",87,1307,1220,"January","Mostly required in January"
"Samsung Ultra 315",189,1408,1219,"January","Mostly required in January"
"Puma Prime 878",54,1270,1216,"January","Mostly required in January"
"Dell Prime 456",87,1302,1215,"January","Mostly required in January"
"Nike Model 670",71,1285,1214,"January","Mostly required in January"
"Reebok Edition 840",269,1479,1210,"January","Mostly required in January"
"Boat Edition 750",354,1564,1210,"January","Mostly required in January"
"Redmi Series 200",130,1340,1210,"January","Mostly required in January"
"Philips Edition 668",339,1548,1209,"January","Mostly required in January"
"Prestige Series 398",5,1213,1208,"January","Mostly required in January"
"Reebok Prime 262",122,1330,1208,"January","Mostly required in January"
"HP Edition 625",148,1354,1206,"January","Mostly required in January"
"Puma Prime 772",182,1387,1205,"January","Mostly required in January"
"Sony Edition 590",48,1253,1205,"January","Mostly required in January"
"HP Prime 775",17,1221,1204,"March","Mostly required in March"
"Dell Prime 967",440,1642,1202,"January","Mostly required in January"
"LG Ultra 672",270,1472,1202,"January","Mostly required in January"
"Philips Prime 395",101,1302,1201,"January","Mostly required in January"
"Samsung Model 879",67,1268,1201,"January","Mostly required in January"
"Reebok Series 283",368,1567,1199,"January","Mostly required in January"
"Philips Prime 337",45,1244,1199,"January","Mostly required in January"
"LG Edition 420",532,1730,1198,"January","Mostly required in January"
"Samsung Series 550",163,1361,1198,"January","Mostly required in January"
"Apple Prime 139",156,1353,1197,"January","Mostly required in January"
"Dell Prime 207",5,1201,1196,"January","Mostly required in January"
"Reebok Ultra 228",211,1404,1193,"January","Mostly required in January"
"Redmi Ultra 386",275,1467,1192,"January","Mostly required in January"
"Redmi Edition 279",646,1836,1190,"January","Mostly required in January"
"Sony Model 915",103,1293,1190,"January","Mostly required in January"
"Puma Ultra 663",182,1372,1190,"January","Mostly required in January"
"Reebok Model 90",94,1282,1188,"January","Mostly required in January"
"Reebok Model 274",184,1372,1188,"January","Mostly required in January"
"Samsung Ultra 406",121,1308,1187,"January","Mostly required in January"
"Boat Series 643",316,1502,1186,"January","Mostly required in January"
"LG Prime 325",138,1324,1186,"January","Mostly required in January"
"Samsung Ultra 464",50,1236,1186,"January","Mostly required in January"
"Prestige Prime 741",199,1384,1185,"January","Mostly required in January"
"Sony Prime 990",14,1191,1177,"January","Mostly required in January"
"Sony Prime 887",243,1419,1176,"January","Mostly required in January"
"Nike Prime 386",36,1212,1176,"January","Mostly required in January"
"Boat Model 468",159,1334,1175,"January","Mostly required in January"
"Sony Ultra 416",229,1403,1174,"January","Mostly required in January"
"Boat Edition 170",14,1186,1172,"August","Mostly required in August"
"Nike Prime 60",23,1194,1171,"January","Mostly required in January"
"Apple Edition 526",188,1358,1170,"January","Mostly required in January"
"LG Edition 848",342,1512,1170,"January","Mostly required in January"
"Prestige Edition 345",513,1682,1169,"January","Mostly required in January"
"Redmi Series 364",78,1242,1164,"January","Mostly required in January"
"Sony Prime 756",58,1222,1164,"January","Mostly required in January"
"Apple Ultra 741",91,1254,1163,"January","Mostly required in January"
"Adidas Series 901",225,1387,1162,"January","Mostly required in January"
"Sony Series 482",360,1522,1162,"January","Mostly required in January"
"Boat Edition 221",537,1699,1162,"January","Mostly required in January"
"Prestige Prime 210",363,1522,1159,"January","Mostly required in January"
"Redmi Prime 984",336,1494,1158,"January","Mostly required in January"
"Adidas Prime 15",102,1259,1157,"January","Mostly required in January"
"Whirlpool Model 601",654,1808,1154,"January","Mostly required in January"
"Adidas Model 276",271,1424,1153,"January","Mostly required in January"
"Philips Series 254",306,1457,1151,"January","Mostly required in January"
"Philips Ultra 286",271,1420,1149,"January","Mostly required in January"
"Dell Prime 226",872,2019,1147,"January","Mostly required in January"
"Whirlpool Series 803",198,1344,1146,"January","Mostly required in January"
"Prestige Model 844",744,1890,1146,"January","Mostly required in January"
"Puma Series 245",536,1680,1144,"January","Mostly required in January"
"Puma Prime 420",200,1342,1142,"January","Mostly required in January"
"Apple Ultra 702",776,1916,1140,"January","Mostly required in January"
"HP Model 478",130,1268,1138,"January","Mostly required in January"
"HP Model 116",394,1529,1135,"January","Mostly required in January"
"Sony Series 525",294,1428,1134,"January","Mostly required in January"
"Prestige Edition 93",423,1556,1133,"January","Mostly required in January"
"Apple Model 957",116,1249,1133,"January","Mostly required in January"
"LG Series 153",257,1389,1132,"January","Mostly required in January"
"Puma Series 964",451,1582,1131,"January","Mostly required in January"
"Sony Series 671",11,1141,1130,"January","Mostly required in January"
"Redmi Edition 384",26,1156,1130,"January","Mostly required in January"
"Sony Model 295",136,1265,1129,"January","Mostly required in January"
"Philips Prime 722",124,1250,1126,"January","Mostly required in January"
"Philips Edition 824",68,1194,1126,"January","Mostly required in January"
"Whirlpool Series 576",30,1153,1123,"January","Mostly required in January"
"Philips Ultra 177",68,1191,1123,"January","Mostly required in January"
"Reebok Prime 161",400,1521,1121,"January","Mostly required in January"
"Sony Ultra 344",827,1945,1118,"January","Mostly required in January"
"Philips Model 637",13,1131,1118,"February","Mostly required in February"
"HP Ultra 543",207,1324,1117,"January","Mostly required in January"
"Whirlpool Ultra 576",405,1522,1117,"January","Mostly required in January"
"Samsung Edition 254",148,1264,1116,"January","Mostly required in January"
"Adidas Prime 996",26,1141,1115,"January","Mostly required in January"
"Prestige Edition 407",76,1190,1114,"July","Mostly required in July"
"Apple Prime 498",139,1253,1114,"January","Mostly required in January"
"Boat Prime 490",180,1292,1112,"July","Mostly required in July"
"Adidas Prime 756",144,1254,1110,"January","Mostly required in January"
"Whirlpool Prime 723",484,1592,1108,"January","Mostly required in January"
"Reebok Ultra 75",157,1262,1105,"January","Mostly required in January"
"Dell Edition 862",89,1193,1104,"May","Mostly required in May"
"Reebok Ultra 461",275,1378,1103,"January","Mostly required in January"
"Samsung Prime 879",39,1141,1102,"January","Mostly required in January"
"Sony Model 197",811,1913,1102,"January","Mostly required in January"
"Adidas Prime 776",383,1485,1102,"January","Mostly required in January"
"Redmi Model 329",23,1123,1100,"September","Mostly required in September"
"Samsung Edition 453",387,1487,1100,"January","Mostly required in January"
"LG Series 918",107,1207,1100,"January","Mostly required in January"
"Boat Series 994",107,1206,1099,"January","Mostly required in January"
"LG Prime 82",197,1292,1095,"January","Mostly required in January"
"Philips Prime 856",126,1220,1094,"January","Mostly required in January"
"Prestige Prime 280",403,1495,1092,"January","Mostly required in January"
"Puma Edition 550",5,1097,1092,"January","Mostly required in January"
"Redmi Ultra 355",534,1624,1090,"January","Mostly required in January"
"Sony Series 158",597,1686,1089,"January","Mostly required in January"
"Prestige Edition 917",121,1209,1088,"January","Mostly required in January"
"Nike Series 854",24,1109,1085,"January","Mostly required in January"
"Boat Ultra 476",221,1305,1084,"January","Mostly required in January"
"Whirlpool Prime 832",58,1141,1083,"January","Mostly required in January"
"Boat Prime 68",13,1094,1081,"January","Mostly required in January"
"Whirlpool Series 602",66,1146,1080,"January","Mostly required in January"
"Adidas Ultra 448",23,1099,1076,"January","Mostly required in January"
"Apple Edition 22",70,1144,1074,"January","Mostly required in January"
"Philips Model 184",109,1183,1074,"January","Mostly required in January"
"Boat Model 560",196,1269,1073,"January","Mostly required in January"
"Redmi Series 56",48,1120,1072,"January","Mostly required in January"
"Boat Edition 748",184,1254,1070,"January","Mostly required in January"
"Sony Prime 529",509,1578,1069,"January","Mostly required in January"
"Sony Ultra 779",191,1258,1067,"January","Mostly required in January"
"Reebok Prime 260",145,1212,1067,"January","Mostly required in January"
"Boat Series 492",339,1406,1067,"January","Mostly required in January"
"Adidas Prime 535",62,1129,1067,"January","Mostly required in January"
"Puma Ultra 927",146,1212,1066,"January","Mostly required in January"
"LG Model 512",289,1352,1063,"January","Mostly required in January"
"Redmi Edition 698",72,1135,1063,"January","Mostly required in January"
"Adidas Series 484",241,1304,1063,"January","Mostly required in January"
"Dell Model 948",207,1269,1062,"January","Mostly required in January"
"LG Model 420",6,1068,1062,"January","Mostly required in January"
"Redmi Ultra 401",124,1186,1062,"January","Mostly required in January"
"Philips Model 230",567,1627,1060,"January","Mostly required in January"
"Boat Series 748",72,1132,1060,"June","Mostly required in June"
"Apple Edition 572",348,1408,1060,"January","Mostly required in January"
"Boat Edition 454",969,2028,1059,"January","Mostly required in January"
"Whirlpool Edition 471",501,1559,1058,"January","Mostly required in January"
"Reebok Edition 813",510,1567,1057,"January","Mostly required in January"
"Nike Model 41",391,1447,1056,"January","Mostly required in January"
"Prestige Ultra 925",556,1611,1055,"January","Mostly required in January"
"Adidas Model 114",28,1083,1055,"January","Mostly required in January"
"Samsung Edition 501",252,1306,1054,"January","Mostly required in January"
"Sony Model 207",366,1420,1054,"January","Mostly required in January"
"Sony Edition 636",11,1064,1053,"January","Mostly required in January"
"Boat Edition 258",469,1522,1053,"January","Mostly required in January"
"Nike Ultra 81",125,1175,1050,"January","Mostly required in January"
"Redmi Series 235",319,1368,1049,"January","Mostly required in January"
"Reebok Edition 79",791,1840,1049,"January","Mostly required in January"
"Sony Ultra 334",36,1085,1049,"January","Mostly required in January"
"Apple Edition 651",505,1553,1048,"January","Mostly required in January"
"Sony Edition 952",13,1060,1047,"January","Mostly required in January"
"Boat Ultra 434",614,1660,1046,"January","Mostly required in January"
"Redmi Prime 938",234,1279,1045,"January","Mostly required in January"
"Samsung Ultra 336",150,1195,1045,"January","Mostly required in January"
"Redmi Ultra 552",309,1351,1042,"January","Mostly required in January"
"Reebok Series 62",248,1290,1042,"June","Mostly required in June"
"HP Series 350",288,1329,1041,"January","Mostly required in January"
"Sony Prime 759",585,1625,1040,"January","Mostly required in January"
"Apple Series 301",61,1100,1039,"January","Mostly required in January"
"Reebok Model 498",232,1269,1037,"January","Mostly required in January"
"Boat Series 903",289,1326,1037,"January","Mostly required in January"
"Redmi Ultra 817",69,1106,1037,"January","Mostly required in January"
"Nike Model 268",643,1679,1036,"January","Mostly required in January"
"Boat Model 360",269,1303,1034,"January","Mostly required in January"
"Reebok Series 901",784,1817,1033,"January","Mostly required in January"
"LG Edition 391",66,1098,1032,"January","Mostly required in January"
"Reebok Ultra 754",125,1157,1032,"January","Mostly required in January"
"Sony Series 918",336,1367,1031,"January","Mostly required in January"
"Prestige Edition 473",99,1130,1031,"January","Mostly required in January"
"HP Prime 457",156,1186,1030,"January","Mostly required in January"
"HP Prime 232",507,1536,1029,"January","Mostly required in January"
"Dell Model 392",277,1306,1029,"June","Mostly required in June"
"Dell Prime 814",5,1034,1029,"January","Mostly required in January"
"Nike Series 795",470,1499,1029,"January","Mostly required in January"
"Adidas Ultra 160",341,1369,1028,"January","Mostly required in January"
"Reebok Edition 561",70,1097,1027,"January","Mostly required in January"
"Sony Prime 804",186,1211,1025,"January","Mostly required in January"
"Philips Edition 532",43,1066,1023,"January","Mostly required in January"
"Boat Edition 953",468,1490,1022,"March","Mostly required in March"
"Nike Edition 475",365,1387,1022,"January","Mostly required in January"
"Samsung Prime 13",151,1173,1022,"January","Mostly required in January"
"Reebok Edition 562",87,1109,1022,"January","Mostly required in January"
"Whirlpool Ultra 345",108,1129,1021,"January","Mostly required in January"
"Boat Edition 234",307,1328,1021,"January","Mostly required in January"
"HP Model 362",131,1150,1019,"January","Mostly required in January"
"Prestige Series 312",12,1031,1019,"January","Mostly required in January"
"Reebok Prime 524",2,1020,1018,"January","Mostly required in January"
"HP Series 731",146,1162,1016,"January","Mostly required in January"
"Prestige Prime 944",76,1092,1016,"January","Mostly required in January"
"Philips Model 270",992,2008,1016,"January","Mostly required in January"
"Reebok Series 494",363,1378,1015,"January","Mostly required in January"
"Philips Model 667",30,1044,1014,"January","Mostly required in January"
"Apple Prime 820",387,1400,1013,"January","Mostly required in January"
"LG Series 792",419,1431,1012,"January","Mostly required in January"
"Puma Model 514",223,1233,1010,"March","Mostly required in March"
"Apple Ultra 233",155,1164,1009,"January","Mostly required in January"
"Philips Model 154",310,1319,1009,"January","Mostly required in January"
"Reebok Model 473",81,1090,1009,"January","Mostly required in January"
"HP Series 68",245,1251,1006,"January","Mostly required in January"
"Adidas Ultra 753",288,1294,1006,"January","Mostly required in January"
"Apple Series 240",580,1586,1006,"January","Mostly required in January"
"Apple Ultra 295",526,1531,1005,"January","Mostly required in January"
"Prestige Prime 22",251,1256,1005,"January","Mostly required in January"
"Prestige Ultra 952",483,1488,1005,"January","Mostly required in January"
"HP Ultra 499",143,1146,1003,"January","Mostly required in January"
"Dell Ultra 444",29,1032,1003,"August","Mostly required in August"
"Reebok Prime 510",79,1081,1002,"October","Mostly required in October"
"Dell Series 46",583,1585,1002,"January","Mostly required in January"
"LG Edition 251",144,1146,1002,"January","Mostly required in January"
"Nike Ultra 908",62,1062,1000,"January","Mostly required in January"
"Samsung Prime 329",649,1649,1000,"January","Mostly required in January"
"Philips Series 942",108,1108,1000,"January","Mostly required in January"
"Adidas Prime 477",939,1939,1000,"January","Mostly required in January"
"Adidas Series 65",239,1237,998,"January","Mostly required in January"
"Whirlpool Edition 677",69,1067,998,"January","Mostly required in January"
"Nike Prime 737",132,1130,998,"March","Mostly required in March"
"Puma Edition 10",488,1485,997,"January","Mostly required in January"
"Whirlpool Edition 836",160,1156,996,"January","Mostly required in January"
"Samsung Edition 774",52,1048,996,"January","Mostly required in January"
"Puma Prime 751",67,1063,996,"December","Mostly required in December"
"Nike Model 627",102,1097,995,"January","Mostly required in January"
"Boat Model 872",131,1126,995,"January","Mostly required in January"
"Prestige Edition 733",56,1050,994,"January","Mostly required in January"
"Apple Series 622",143,1136,993,"January","Mostly required in January"
"Whirlpool Edition 239",171,1164,993,"January","Mostly required in January"
"Reebok Prime 966",143,1135,992,"March","Mostly required in March"
"HP Model 260",1,993,992,"March","Mostly required in March"
"Adidas Edition 360",144,1135,991,"November","Mostly required in November"
"Redmi Model 663",154,1144,990,"January","Mostly required in January"
"Apple Edition 571",485,1475,990,"January","Mostly required in January"
"Apple Model 785",479,1469,990,"January","Mostly required in January"
"Nike Edition 170",14,1002,988,"January","Mostly required in January"
"Adidas Edition 522",150,1138,988,"May","Mostly required in May"
"Reebok Prime 345",938,1926,988,"January","Mostly required in January"
"Samsung Model 740",252,1240,988,"January","Mostly required in January"
"Samsung Edition 861",149,1137,988,"January","Mostly required in January"
"Reebok Ultra 884",105,1091,986,"January","Mostly required in January"
"Redmi Model 169",161,1147,986,"January","Mostly required in January"
"Apple Edition 34",242,1228,986,"January","Mostly required in January"
"Nike Ultra 19",293,1279,986,"September","Mostly required in September"
"Prestige Ultra 778",118,1103,985,"January","Mostly required in January"
"Puma Edition 216",85,1068,983,"January","Mostly required in January"
"Prestige Model 873",345,1327,982,"January","Mostly required in January"
"Redmi Series 37",769,1751,982,"January","Mostly required in January"
"Prestige Model 268",7,989,982,"January","Mostly required in January"
"Dell Ultra 281",247,1227,980,"January","Mostly required in January"
"Reebok Series 757",117,1096,979,"January","Mostly required in January"
"Apple Model 604",289,1268,979,"January","Mostly required in January"
"Dell Edition 710",951,1929,978,"January","Mostly required in January"
"Samsung Prime 57",626,1604,978,"January","Mostly required in January"
"Reebok Prime 197",11,989,978,"November","Mostly required in November"
"Dell Edition 256",59,1036,977,"January","Mostly required in January"
"Samsung Ultra 897",25,1001,976,"January","Mostly required in January"
"Prestige Prime 986",452,1427,975,"January","Mostly required in January"
"HP Model 973",3,977,974,"January","Mostly required in January"
"Puma Series 420",316,1290,974,"January","Mostly required in January"
"Sony Prime 201",162,1136,974,"January","Mostly required in January"
"Boat Ultra 399",18,992,974,"January","Mostly required in January"
"Puma Model 328",13,987,974,"March","Mostly required in March"
"Prestige Ultra 888",74,1047,973,"October","Mostly required in October"
"Apple Prime 294",179,1152,973,"January","Mostly required in January"
"Adidas Ultra 370",125,1098,973,"January","Mostly required in January"
"Reebok Edition 72",12,984,972,"January","Mostly required in January"
"LG Ultra 680",183,1155,972,"January","Mostly required in January"
"Sony Edition 461",241,1213,972,"January","Mostly required in January"
"Apple Ultra 113",292,1263,971,"January","Mostly required in January"
"Boat Model 759",246,1217,971,"January","Mostly required in January"
"Nike Prime 258",244,1214,970,"January","Mostly required in January"
"Samsung Edition 277",234,1204,970,"January","Mostly required in January"
"HP Edition 478",15,984,969,"April","Mostly required in April"
"Dell Model 11",133,1102,969,"January","Mostly required in January"
"Samsung Ultra 958",46,1014,968,"January","Mostly required in January"
"Philips Series 433",353,1320,967,"January","Mostly required in January"
"Apple Ultra 964",43,1010,967,"January","Mostly required in January"
"Whirlpool Series 189",442,1408,966,"January","Mostly required in January"
"Whirlpool Ultra 394",90,1054,964,"January","Mostly required in January"
"LG Prime 333",74,1038,964,"January","Mostly required in January"
"Reebok Series 204",125,1088,963,"January","Mostly required in January"
"Boat Ultra 997",86,1049,963,"January","Mostly required in January"
"Boat Prime 554",469,1432,963,"January","Mostly required in January"
"Whirlpool Ultra 115",411,1373,962,"January","Mostly required in January"
"Puma Model 477",149,1111,962,"January","Mostly required in January"
"Whirlpool Edition 467",82,1043,961,"July","Mostly required in July"
"Dell Series 982",22,982,960,"January","Mostly required in January"
"Puma Series 979",437,1397,960,"January","Mostly required in January"
"Puma Ultra 345",99,1057,958,"July","Mostly required in July"
"Redmi Model 370",76,1034,958,"January","Mostly required in January"
"Reebok Ultra 977",794,1752,958,"January","Mostly required in January"
